strain	date	country	division	author	author__url	accession	accession__url
EM_004563	2015-01-25	Guinea	Kissidougou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817104	https://www.ncbi.nlm.nih.gov/nuccore/KR817104
EM_004555	2015-01-22	Guinea	Kissidougou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817103	https://www.ncbi.nlm.nih.gov/nuccore/KR817103
EM_004503	2015-01-15	Guinea	Faranah	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817102	https://www.ncbi.nlm.nih.gov/nuccore/KR817102
EM_004580	2015-01-27	Guinea	Faranah	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817105	https://www.ncbi.nlm.nih.gov/nuccore/KR817105
EM_075368	2014-08-29	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817131	https://www.ncbi.nlm.nih.gov/nuccore/KR817131
EM_079388	2014-07-30	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817178	https://www.ncbi.nlm.nih.gov/nuccore/KR817178
EM_000321	2014-09-09	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817074	https://www.ncbi.nlm.nih.gov/nuccore/KR817074
EM_076138	2014-10-17	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817140	https://www.ncbi.nlm.nih.gov/nuccore/KR817140
EM_000028	2014-09-01	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817069	https://www.ncbi.nlm.nih.gov/nuccore/KR817069
EM_000127	2014-09-04	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817070	https://www.ncbi.nlm.nih.gov/nuccore/KR817070
EM_000218	2014-09-07	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817072	https://www.ncbi.nlm.nih.gov/nuccore/KR817072
EM_074785	2014-08-16	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817126	https://www.ncbi.nlm.nih.gov/nuccore/KR817126
EM_000027	2014-09-01	Guinea	Guinea	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817068	https://www.ncbi.nlm.nih.gov/nuccore/KR817068
EM_001101	2014-10-05	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817088	https://www.ncbi.nlm.nih.gov/nuccore/KR817088
EM_000015	2014-09-01	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817067	https://www.ncbi.nlm.nih.gov/nuccore/KR817067
EM_076322	2014-10-22	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817145	https://www.ncbi.nlm.nih.gov/nuccore/KR817145
EM_001102	2014-10-05	Guinea	Lola	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817089	https://www.ncbi.nlm.nih.gov/nuccore/KR817089
EM_000983	2014-10-01	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817087	https://www.ncbi.nlm.nih.gov/nuccore/KR817087
V1371	2014-10-10	Guinea	Conakry	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534555	https://www.ncbi.nlm.nih.gov/nuccore/KR534555
EM_076610	2014-11-03	Guinea	Nzerekore	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817153	https://www.ncbi.nlm.nih.gov/nuccore/KR817153
EM_000925	2014-09-29	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817082	https://www.ncbi.nlm.nih.gov/nuccore/KR817082
EM_000982	2014-10-01	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817086	https://www.ncbi.nlm.nih.gov/nuccore/KR817086
EM_078608	2014-12-04	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817164	https://www.ncbi.nlm.nih.gov/nuccore/KR817164
EM_078654	2014-12-09	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817167	https://www.ncbi.nlm.nih.gov/nuccore/KR817167
EM_076533	2014-11-01	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817151	https://www.ncbi.nlm.nih.gov/nuccore/KR817151
EM_076534	2014-11-01	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817152	https://www.ncbi.nlm.nih.gov/nuccore/KR817152
EM_000501	2014-09-13	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817077	https://www.ncbi.nlm.nih.gov/nuccore/KR817077
EM_076193	2014-10-18	Guinea	Nzerekore	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817143	https://www.ncbi.nlm.nih.gov/nuccore/KR817143
EM_076951	2014-11-13	Guinea	Lola	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817159	https://www.ncbi.nlm.nih.gov/nuccore/KR817159
EM_000502	2014-09-13	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817078	https://www.ncbi.nlm.nih.gov/nuccore/KR817078
G3682	2014-05-28	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034560	https://www.ncbi.nlm.nih.gov/nuccore/KM034560
EM098	2014-05-26	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034552	https://www.ncbi.nlm.nih.gov/nuccore/KM034552
G3677	2014-05-26	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034556	https://www.ncbi.nlm.nih.gov/nuccore/KM034556
G3823	2014-06-15	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233097	https://www.ncbi.nlm.nih.gov/nuccore/KM233097
LIBR10127	2014-08-22	Liberia	Bong	Ladner et al		KT725272	https://www.ncbi.nlm.nih.gov/nuccore/KT725272
EM_074720	2014-08-14	Liberia	Lofa	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817125	https://www.ncbi.nlm.nih.gov/nuccore/KR817125
LIBR10027	2014-08-16	Liberia	Liberia	Ladner et al		KT725294	https://www.ncbi.nlm.nih.gov/nuccore/KT725294
EM_080067	2014-06-20	Liberia	Liberia	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817234	https://www.ncbi.nlm.nih.gov/nuccore/KR817234
EM_080065	2014-06-20	Liberia	Liberia	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817232	https://www.ncbi.nlm.nih.gov/nuccore/KR817232
LIBR10205	2014-09-19	Liberia	Montserrado	Ladner et al		KT725351	https://www.ncbi.nlm.nih.gov/nuccore/KT725351
LIBR10078	2014-08-26	Liberia	Grand Bassa	Ladner et al		KT725297	https://www.ncbi.nlm.nih.gov/nuccore/KT725297
LIBR10079	2014-08-26	Liberia	Grand Bassa	Ladner et al		KT725309	https://www.ncbi.nlm.nih.gov/nuccore/KT725309
EM_074438	2014-08-01	Guinea	Nzerekore	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817118	https://www.ncbi.nlm.nih.gov/nuccore/KR817118
EM_000219	2014-09-07	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817073	https://www.ncbi.nlm.nih.gov/nuccore/KR817073
EM_074436	2014-08-01	Guinea	Nzerekore	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817116	https://www.ncbi.nlm.nih.gov/nuccore/KR817116
EM_074439	2014-08-01	Guinea	Nzerekore	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817119	https://www.ncbi.nlm.nih.gov/nuccore/KR817119
EM_074437	2014-08-01	Guinea	Nzerekore	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817117	https://www.ncbi.nlm.nih.gov/nuccore/KR817117
EM_000706	2014-09-21	Guinea	Nzerekore	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817079	https://www.ncbi.nlm.nih.gov/nuccore/KR817079
EM_000128	2014-09-04	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817071	https://www.ncbi.nlm.nih.gov/nuccore/KR817071
G3788	2014-06-14	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233075	https://www.ncbi.nlm.nih.gov/nuccore/KM233075
G3841	2014-06-17	Sierra Leone	Bo	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233107	https://www.ncbi.nlm.nih.gov/nuccore/KM233107
G3838.2	2014-06-16	Sierra Leone	Kailahun	Goba et al		KR105200	https://www.ncbi.nlm.nih.gov/nuccore/KR105200
G3820	2014-06-15	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233094	https://www.ncbi.nlm.nih.gov/nuccore/KM233094
G3758	2014-06-11	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233062	https://www.ncbi.nlm.nih.gov/nuccore/KM233062
LIBR10250	2014-06-23	Liberia	Liberia	Ladner et al		KT725360	https://www.ncbi.nlm.nih.gov/nuccore/KT725360
G3729	2014-06-07	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233054	https://www.ncbi.nlm.nih.gov/nuccore/KM233054
G3807	2014-06-15	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233084	https://www.ncbi.nlm.nih.gov/nuccore/KM233084
G3796	2014-06-15	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233078	https://www.ncbi.nlm.nih.gov/nuccore/KM233078
G3786	2014-06-14	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233073	https://www.ncbi.nlm.nih.gov/nuccore/KM233073
EM_080003	2014-06-14	Sierra Leone	Kailahun	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817228	https://www.ncbi.nlm.nih.gov/nuccore/KR817228
LIBR10271	2014-08-26	Liberia	Liberia	Ladner et al		KT725347	https://www.ncbi.nlm.nih.gov/nuccore/KT725347
EM_075043	2014-08-22	Liberia	Lofa	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817129	https://www.ncbi.nlm.nih.gov/nuccore/KR817129
LIBR10237	2014-07-11	Liberia	Liberia	Ladner et al		KT725275	https://www.ncbi.nlm.nih.gov/nuccore/KT725275
LIBR10222	2014-09-26	Liberia	Grand Bassa	Ladner et al		KT725305	https://www.ncbi.nlm.nih.gov/nuccore/KT725305
LIBR0380	2014-11-28	Liberia	Montserrado	Ladner et al		KT725290	https://www.ncbi.nlm.nih.gov/nuccore/KT725290
LIBR10202	2014-08-27	Liberia	Montserrado	Ladner et al		KT725356	https://www.ncbi.nlm.nih.gov/nuccore/KT725356
V20141241	2014-09-24	Sierra Leone	Port Loko	Whitmer et al A		KR653300	https://www.ncbi.nlm.nih.gov/nuccore/KR653300
LIBR0430	2014-12-03	Liberia	Grand Bassa	Kugelman et al		KR006955	https://www.ncbi.nlm.nih.gov/nuccore/KR006955
LIBR10265	2014-10-18	Liberia	Liberia	Ladner et al		KT725312	https://www.ncbi.nlm.nih.gov/nuccore/KT725312
LIBR10089	2014-08-17	Liberia	Liberia	Ladner et al		KT725377	https://www.ncbi.nlm.nih.gov/nuccore/KT725377
EM_080269	2014-07-12	Liberia	Liberia	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817245	https://www.ncbi.nlm.nih.gov/nuccore/KR817245
LIBR10112	2014-08-20	Liberia	River Gee	Ladner et al		KT725365	https://www.ncbi.nlm.nih.gov/nuccore/KT725365
LIBR10037	2014-08-10	Liberia	Liberia	Ladner et al		KT725311	https://www.ncbi.nlm.nih.gov/nuccore/KT725311
LIBR0279	2014-11-22	Liberia	Liberia	Ladner et al		KT725280	https://www.ncbi.nlm.nih.gov/nuccore/KT725280
LIBR10187	2014-08-19	Liberia	Liberia	Ladner et al		KT725392	https://www.ncbi.nlm.nih.gov/nuccore/KT725392
LIBR10054	2014-09-23	Liberia	Bomi	Kugelman et al		KR006964	https://www.ncbi.nlm.nih.gov/nuccore/KR006964
LIBR10071	2014-09-20	Liberia	Montserrado	Ladner et al		KT725308	https://www.ncbi.nlm.nih.gov/nuccore/KT725308
LIBR10074	2014-09-20	Liberia	Liberia	Ladner et al		KT725325	https://www.ncbi.nlm.nih.gov/nuccore/KT725325
LIBR10145	2014-09-20	Liberia	Liberia	Ladner et al		KT725362	https://www.ncbi.nlm.nih.gov/nuccore/KT725362
LIBR10195	2014-08-26	Liberia	Liberia	Ladner et al		KT725264	https://www.ncbi.nlm.nih.gov/nuccore/KT725264
LIBR10210	2014-09-19	Liberia	Montserrado	Ladner et al		KT725321	https://www.ncbi.nlm.nih.gov/nuccore/KT725321
LIBR0605	2014-12-20	Liberia	Montserrado	Kugelman et al		KR006958	https://www.ncbi.nlm.nih.gov/nuccore/KR006958
LIBR0423	2014-12-03	Liberia	Montserrado	Kugelman et al		KR006954	https://www.ncbi.nlm.nih.gov/nuccore/KR006954
LIBR10052	2014-10-01	Liberia	Liberia	Ladner et al		KT725258	https://www.ncbi.nlm.nih.gov/nuccore/KT725258
LIBR10208	2014-09-19	Liberia	Montserrado	Ladner et al		KT725329	https://www.ncbi.nlm.nih.gov/nuccore/KT725329
LIBR10307	2014-10-02	Liberia	Montserrado	Ladner et al		KT725310	https://www.ncbi.nlm.nih.gov/nuccore/KT725310
LIBR10135	2014-09-07	Liberia	Liberia	Ladner et al		KT725260	https://www.ncbi.nlm.nih.gov/nuccore/KT725260
LIBR10209	2014-09-19	Liberia	Montserrado	Ladner et al		KT725371	https://www.ncbi.nlm.nih.gov/nuccore/KT725371
LIBR0008	2014-10-31	Liberia	Montserrado	Ladner et al		KT725313	https://www.ncbi.nlm.nih.gov/nuccore/KT725313
G3972.1	2014-06-24	Sierra Leone	Sierra Leone	Goba et al		KR105212	https://www.ncbi.nlm.nih.gov/nuccore/KR105212
LIBR10029	2014-08-16	Liberia	Margibi	Ladner et al		KT725348	https://www.ncbi.nlm.nih.gov/nuccore/KT725348
LIBR0079	2014-11-07	Liberia	Montserrado	Ladner et al		KT725274	https://www.ncbi.nlm.nih.gov/nuccore/KT725274
LIBR10025	2014-08-16	Liberia	Margibi	Ladner et al		KT725315	https://www.ncbi.nlm.nih.gov/nuccore/KT725315
LIBR10030	2014-08-16	Liberia	Margibi	Ladner et al		KT725257	https://www.ncbi.nlm.nih.gov/nuccore/KT725257
LIBR10065	2014-09-21	Liberia	Liberia	Ladner et al		KT725298	https://www.ncbi.nlm.nih.gov/nuccore/KT725298
LIBR0993	2015-01-20	Liberia	Montserrado	Kugelman et al		KR006960	https://www.ncbi.nlm.nih.gov/nuccore/KR006960
LIBR1195	2015-02-02	Liberia	Margibi	Kugelman et al		KR006961	https://www.ncbi.nlm.nih.gov/nuccore/KR006961
LIBR1221	2015-02-04	Liberia	Montserrado	Ladner et al		KT725384	https://www.ncbi.nlm.nih.gov/nuccore/KT725384
LIBR1413	2015-02-14	Liberia	Montserrado	Kugelman et al		KR006962	https://www.ncbi.nlm.nih.gov/nuccore/KR006962
V201403007	2014-08-03	Liberia	Liberia	Albarino et al	https://www.ncbi.nlm.nih.gov/pubmed/26122472	KP178538	https://www.ncbi.nlm.nih.gov/nuccore/KP178538
LIBR10088	2014-08-26	Liberia	Montserrado	Ladner et al		KT725349	https://www.ncbi.nlm.nih.gov/nuccore/KT725349
LIBR10086	2014-08-26	Liberia	Margibi	Ladner et al		KT725381	https://www.ncbi.nlm.nih.gov/nuccore/KT725381
LIBR10087	2014-08-26	Liberia	Margibi	Ladner et al		KT725346	https://www.ncbi.nlm.nih.gov/nuccore/KT725346
LIBR0173	2014-11-14	Liberia	Montserrado	Kugelman et al		KR006950	https://www.ncbi.nlm.nih.gov/nuccore/KR006950
LIBR10241	2014-06-25	Liberia	Liberia	Ladner et al		KT725262	https://www.ncbi.nlm.nih.gov/nuccore/KT725262
LIBR0707	2014-12-29	Liberia	Montserrado	Ladner et al		KT725366	https://www.ncbi.nlm.nih.gov/nuccore/KT725366
LIBR10060	2014-09-23	Liberia	Montserrado	Ladner et al		KT725357	https://www.ncbi.nlm.nih.gov/nuccore/KT725357
LIBR10170	2014-08-17	Liberia	Montserrado	Ladner et al		KT725350	https://www.ncbi.nlm.nih.gov/nuccore/KT725350
LIBR10180	2014-10-11	Liberia	Montserrado	Ladner et al		KT725391	https://www.ncbi.nlm.nih.gov/nuccore/KT725391
LIBR10277	2014-08-26	Liberia	Margibi	Ladner et al		KT725369	https://www.ncbi.nlm.nih.gov/nuccore/KT725369
LIBR10139	2014-09-09	Liberia	Liberia	Ladner et al		KT725265	https://www.ncbi.nlm.nih.gov/nuccore/KT725265
EM_000958	2014-09-30	Guinea	Nzerekore	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817084	https://www.ncbi.nlm.nih.gov/nuccore/KR817084
LIBR10056	2014-09-23	Liberia	Margibi	Ladner et al		KT725276	https://www.ncbi.nlm.nih.gov/nuccore/KT725276
Makona-201403261	2014-09-26	Liberia	Liberia	Whitmer et al B		KP240932	https://www.ncbi.nlm.nih.gov/nuccore/KP240932
LIBR10053	2014-10-01	Liberia	Liberia	Kugelman et al		KR006963	https://www.ncbi.nlm.nih.gov/nuccore/KR006963
LIBR0090	2014-11-08	Liberia	Margibi	Kugelman et al		KR006945	https://www.ncbi.nlm.nih.gov/nuccore/KR006945
LIBR10113	2014-08-20	Liberia	Liberia	Ladner et al		KT725367	https://www.ncbi.nlm.nih.gov/nuccore/KT725367
LIBR10106	2014-08-20	Liberia	Nimba	Ladner et al		KT725337	https://www.ncbi.nlm.nih.gov/nuccore/KT725337
LIBR10168	2014-09-20	Liberia	Liberia	Ladner et al		KT725353	https://www.ncbi.nlm.nih.gov/nuccore/KT725353
LIBR10179	2014-10-11	Liberia	Montserrado	Ladner et al		KT725375	https://www.ncbi.nlm.nih.gov/nuccore/KT725375
LIBR10051	2014-10-01	Liberia	Liberia	Ladner et al		KT725368	https://www.ncbi.nlm.nih.gov/nuccore/KT725368
LIBR10017	2014-08-19	Liberia	Montserrado	Ladner et al		KT725293	https://www.ncbi.nlm.nih.gov/nuccore/KT725293
LIBR10081	2014-08-26	Liberia	Margibi	Ladner et al		KT725339	https://www.ncbi.nlm.nih.gov/nuccore/KT725339
LIBR10021	2014-08-18	Liberia	Liberia	Ladner et al		KT725335	https://www.ncbi.nlm.nih.gov/nuccore/KT725335
LIBR10098	2014-08-17	Liberia	Liberia	Ladner et al		KT725383	https://www.ncbi.nlm.nih.gov/nuccore/KT725383
LIBR10033	2014-08-15	Liberia	Nimba	Ladner et al		KT725386	https://www.ncbi.nlm.nih.gov/nuccore/KT725386
LIBR10092	2014-08-17	Liberia	Liberia	Ladner et al		KT725380	https://www.ncbi.nlm.nih.gov/nuccore/KT725380
LIBR10093	2014-08-17	Liberia	Nimba	Ladner et al		KT725363	https://www.ncbi.nlm.nih.gov/nuccore/KT725363
LIBR10072	2014-09-20	Liberia	Montserrado	Ladner et al		KT725307	https://www.ncbi.nlm.nih.gov/nuccore/KT725307
LIBR10066	2014-09-20	Liberia	Montserrado	Ladner et al		KT725379	https://www.ncbi.nlm.nih.gov/nuccore/KT725379
LIBR10230	2014-09-26	Liberia	Montserrado	Ladner et al		KT725354	https://www.ncbi.nlm.nih.gov/nuccore/KT725354
EM_004589	2015-01-31	Guinea	Siguiri	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817106	https://www.ncbi.nlm.nih.gov/nuccore/KR817106
G3846	2014-06-18	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233109	https://www.ncbi.nlm.nih.gov/nuccore/KM233109
G3724	2014-06-05	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233053	https://www.ncbi.nlm.nih.gov/nuccore/KM233053
G4348.1	2014-07-09	Sierra Leone	Kenema	Goba et al		KR105241	https://www.ncbi.nlm.nih.gov/nuccore/KR105241
G3949.1	2014-06-24	Sierra Leone	Sierra Leone	Goba et al		KR105209	https://www.ncbi.nlm.nih.gov/nuccore/KR105209
G4235.1	2014-07-11	Sierra Leone	Kailahun	Goba et al		KR105220	https://www.ncbi.nlm.nih.gov/nuccore/KR105220
G3855.2	2014-06-17	Sierra Leone	Kenema	Goba et al		KR105203	https://www.ncbi.nlm.nih.gov/nuccore/KR105203
G3816	2014-06-15	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233090	https://www.ncbi.nlm.nih.gov/nuccore/KM233090
G3713	2014-06-09	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233050	https://www.ncbi.nlm.nih.gov/nuccore/KM233050
G3770	2014-06-12	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233069	https://www.ncbi.nlm.nih.gov/nuccore/KM233069
EM119	2014-06-03	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233042	https://www.ncbi.nlm.nih.gov/nuccore/KM233042
G5012.3	2014-08-15	Sierra Leone	Western Area	Goba et al		KR105292	https://www.ncbi.nlm.nih.gov/nuccore/KR105292
G4382.1	2014-07-16	Sierra Leone	Kenema	Goba et al		KR105244	https://www.ncbi.nlm.nih.gov/nuccore/KR105244
G5016.1	2014-08-16	Sierra Leone	Kenema	Goba et al		KR105293	https://www.ncbi.nlm.nih.gov/nuccore/KR105293
V653	2014-08-15	Guinea	Conakry	Simon-Loriere et al	https://www.ncbi.nlm.nih.gov/pubmed/26106863	KR534514	https://www.ncbi.nlm.nih.gov/nuccore/KR534514
V20141227	2014-09-26	Sierra Leone	Bo	Whitmer et al A		KR653303	https://www.ncbi.nlm.nih.gov/nuccore/KR653303
G5644.1	2014-09-11	Sierra Leone	Sierra Leone	Goba et al		KR105314	https://www.ncbi.nlm.nih.gov/nuccore/KR105314
V20140254	2014-08-29	Sierra Leone	Bo	Whitmer et al A		KR653296	https://www.ncbi.nlm.nih.gov/nuccore/KR653296
G5640.1	2014-09-11	Sierra Leone	Sierra Leone	Goba et al		KR105313	https://www.ncbi.nlm.nih.gov/nuccore/KR105313
G5647.1	2014-09-11	Sierra Leone	Sierra Leone	Goba et al		KR105315	https://www.ncbi.nlm.nih.gov/nuccore/KR105315
V20140729	2014-09-10	Sierra Leone	Bo	Whitmer et al A		KR653286	https://www.ncbi.nlm.nih.gov/nuccore/KR653286
G4415.1	2014-07-18	Sierra Leone	Kenema	Goba et al		KR105247	https://www.ncbi.nlm.nih.gov/nuccore/KR105247
G4406.1	2014-07-18	Sierra Leone	Kono	Goba et al		KR105246	https://www.ncbi.nlm.nih.gov/nuccore/KR105246
G5059.1	2014-08-18	Sierra Leone	Kenema	Goba et al		KR105296	https://www.ncbi.nlm.nih.gov/nuccore/KR105296
G5570.1	2014-09-08	Sierra Leone	Kenema	Goba et al		KR105310	https://www.ncbi.nlm.nih.gov/nuccore/KR105310
V20140038	2014-08-23	Sierra Leone	Tonkolili	Whitmer et al A		KR653267	https://www.ncbi.nlm.nih.gov/nuccore/KR653267
G4324.1	2014-07-14	Sierra Leone	Kenema	Goba et al		KR105233	https://www.ncbi.nlm.nih.gov/nuccore/KR105233
G4325.1	2014-07-14	Sierra Leone	Kenema	Goba et al		KR105234	https://www.ncbi.nlm.nih.gov/nuccore/KR105234
G4702.1	2014-08-03	Sierra Leone	Kenema	Goba et al		KR105265	https://www.ncbi.nlm.nih.gov/nuccore/KR105265
G4701.1	2014-08-03	Sierra Leone	Kenema	Goba et al		KR105264	https://www.ncbi.nlm.nih.gov/nuccore/KR105264
G4345.1	2014-07-18	Sierra Leone	Kenema	Goba et al		KR105239	https://www.ncbi.nlm.nih.gov/nuccore/KR105239
G3856	2014-06-18	Sierra Leone	Kenema	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233113	https://www.ncbi.nlm.nih.gov/nuccore/KM233113
G4389.1	2014-07-16	Sierra Leone	Kenema	Goba et al		KR105245	https://www.ncbi.nlm.nih.gov/nuccore/KR105245
G4316.1	2014-07-13	Sierra Leone	Kenema	Goba et al		KR105231	https://www.ncbi.nlm.nih.gov/nuccore/KR105231
G4422.1	2014-07-19	Sierra Leone	Kenema	Goba et al		KR105250	https://www.ncbi.nlm.nih.gov/nuccore/KR105250
G4350.1	2014-07-14	Sierra Leone	Kenema	Goba et al		KR105242	https://www.ncbi.nlm.nih.gov/nuccore/KR105242
G4380.1	2014-07-15	Sierra Leone	Kenema	Goba et al		KR105243	https://www.ncbi.nlm.nih.gov/nuccore/KR105243
G4312.2	2014-07-12	Sierra Leone	Port Loko	Goba et al		KR105230	https://www.ncbi.nlm.nih.gov/nuccore/KR105230
V20140910	2014-09-18	Sierra Leone	Kenema	Whitmer et al A		KR653269	https://www.ncbi.nlm.nih.gov/nuccore/KR653269
G5370.1	2014-08-28	Sierra Leone	Kenema	Goba et al		KR105306	https://www.ncbi.nlm.nih.gov/nuccore/KR105306
G4856.1	2014-08-10	Sierra Leone	Kenema	Goba et al		KR105273	https://www.ncbi.nlm.nih.gov/nuccore/KR105273
G4942.1	2014-08-12	Sierra Leone	Moyamba	Goba et al		KR105279	https://www.ncbi.nlm.nih.gov/nuccore/KR105279
G4971.1	2014-08-14	Sierra Leone	Kenema	Goba et al		KR105284	https://www.ncbi.nlm.nih.gov/nuccore/KR105284
G4960.1	2014-08-14	Sierra Leone	Kenema	Goba et al		KR105283	https://www.ncbi.nlm.nih.gov/nuccore/KR105283
G4937.1	2014-08-13	Sierra Leone	Kenema	Goba et al		KR105278	https://www.ncbi.nlm.nih.gov/nuccore/KR105278
G4946.1	2014-08-13	Sierra Leone	Kenema	Goba et al		KR105280	https://www.ncbi.nlm.nih.gov/nuccore/KR105280
G4907.1	2014-08-12	Sierra Leone	Kenema	Goba et al		KR105277	https://www.ncbi.nlm.nih.gov/nuccore/KR105277
V20140008	2014-08-22	Sierra Leone	Kenema	Whitmer et al A		KR653251	https://www.ncbi.nlm.nih.gov/nuccore/KR653251
G4886.1	2014-08-11	Sierra Leone	Kenema	Goba et al		KR105276	https://www.ncbi.nlm.nih.gov/nuccore/KR105276
Makona-UK1.1	2014-08-25	Sierra Leone	Kenema	Bell et al A		KP184503	https://www.ncbi.nlm.nih.gov/nuccore/KP184503
G3926.2	2014-06-22	Sierra Leone	Kailahun	Goba et al		KR105208	https://www.ncbi.nlm.nih.gov/nuccore/KR105208
G3707	2014-05-31	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233049	https://www.ncbi.nlm.nih.gov/nuccore/KM233049
NM042	2014-06-04	Sierra Leone	Kambia	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233116	https://www.ncbi.nlm.nih.gov/nuccore/KM233116
